Name,Review URL,District,District ID,Category ID,Category Name,Price UI,Address,Review Count,Smile,Cry,Overall Score,Bookmark Count,Latitude,longitude
Burgeroom,/en/hongkong/r-burgeroom-causeway-bay-american-hamburger-r189507/reviews,Causeway Bay,1019,"[4001, 1035, 1007]","[American, Hamburger, Fast Food]",$51-100,"Shop D, G/F, Food Street, 50-56 Paterson Street, Fashion Walk",846,684.0,47.0,3.8820870000000003,32152,22.2818512378,114.185185656
The Grill Room,/en/hongkong/r-the-grill-room-causeway-bay-western-r446983/reviews,Causeway Bay,1019,"[4000, 1003]","[Western, Steak House]",$201-400,"5/F, The L. Square, 459-461 Lockhart Road",585,459.0,24.0,3.79109,22423,22.280195499999998,114.18166699999999
Burger Joys,/en/hongkong/r-burger-joys-wan-chai-american-hamburger-r453663/reviews,Wan Chai,1022,"[4001, 1035]","[American, Hamburger]",$101-200,"Shop E, G/F, De Fenwick, 42-50 Lockhart Road",527,470.0,9.0,3.896518,11224,22.2780375,114.170584
Toretore Hamayaki 漁獲浜燒,/en/hongkong/r-toretore-hamayaki-causeway-bay-japanese-r454887/reviews,Causeway Bay,1019,[2009],[Japanese],$201-400,"18/F, Macau Yat Yuen Centre, 525 Hennessy Road",397,387.0,2.0,4.385204,13354,22.280330499999998,114.18376640000001
Sodam Chicken,/en/hongkong/r-sodam-chicken-causeway-bay-korean-korean-fried-chicken-r477924/reviews,Causeway Bay,1019,"[2001, 1085]","[Korean, Korean Fried Chicken]",$101-200,"7/F, 3 Yiu Wa Street, Bartlock Centre",503,398.0,16.0,3.816736,19147,22.2777035,114.18217849999999
Via Tokyo,/en/hongkong/r-via-tokyo-causeway-bay-japanese-ice-cream-yogurt-r143976/reviews,Causeway Bay,1019,"[2009, 1014, 1015]","[Japanese, Dessert, Ice Cream/yogurt]",Below $50,"Shop 1A-1B, G/F, Leishun Court, 106-126 Leighton Road",619,451.0,13.0,3.7799370000000003,32669,22.277867999999998,114.1864051
The Pudding Nouveau,/en/hongkong/r-the-pudding-nouveau-tai-hang-western-all-day-breakfast-r161294/reviews,Tai Hang,1025,"[3010, 1014, 1008, 4000, 1015, 1075]","[French, Dessert, Coffee Shop, Western, Ice Cream/yogurt, All Day Breakfast]",$101-200,"G/F, 17A King Street",595,493.0,19.0,3.806108,16501,22.2786575804,114.191927388
HeSheEat,/en/hongkong/r-hesheeat-causeway-bay-western-all-day-breakfast-r193159/reviews,Causeway Bay,1019,"[4000, 1014, 1008, 1075]","[Western, Dessert, Coffee Shop, All Day Breakfast]",$51-100,"Shop 201, 2/F, Causeway Bay, 2-10 Great George Street",574,422.0,28.0,3.79009,12710,22.280182,114.18523200000001
Mackie Kitchen 阿麥廚房,/en/hongkong/r-mackie-kitchen-causeway-bay-western-r21180/reviews,Causeway Bay,1019,"[4000, 1008, 11]","[Western, Coffee Shop, Casual Drink]",$101-200,"G/F, 9 Caroline Hill Road",451,373.0,21.0,3.8294980000000005,11000,22.277402,114.18680900000001
Tai Pai Tong Hong Kong 西餐大排檔,/en/hongkong/r-tai-pai-tong-hong-kong-causeway-bay-western-seafood-r457603/reviews,Causeway Bay,1019,"[4000, 1009, 1019]","[Western, Seafood, BBQ]",$201-400,"7/F, Jardine Center, 50 Jardine's Bazaar",526,500.0,6.0,4.114258,12607,22.279408,114.1856449
The Hwaduk,/en/hongkong/r-the-hwaduk-causeway-bay-korean-korean-fried-chicken-r481456/reviews,Causeway Bay,1019,"[2001, 1085]","[Korean, Korean Fried Chicken]",$101-200,"21/F, Cubus, 1 Hoi Ping Road",385,352.0,4.0,4.115343,11486,22.2775063,114.18502050000001
Little Vegas,/en/hongkong/r-little-vegas-causeway-bay-western-all-day-breakfast-r186385/reviews,Causeway Bay,1019,"[4000, 1022, 1075]","[Western, Pizza, All Day Breakfast]",$101-200,"25/F, Bartlock Centre, 3 Yiu Wa Street",416,325.0,12.0,3.8300669999999997,24347,22.2776673,114.18217620000001
Shika Teppan-Yaki 鉄人旨花,/en/hongkong/r-shika-teppan-yaki-causeway-bay-japanese-omakase-r183611/reviews,Causeway Bay,1019,"[2009, 1024, 1034, 1205]","[Japanese, Teppanyaki, Sushi/Sashimi, Omakase]",Above $801,"2/F, Shining building, 477-481 Jaffe Road",489,460.0,8.0,4.1734919999999995,8693,22.2811986,114.18255490000001
Espuma,/en/hongkong/r-espuma-central-international-dessert-r431970/reviews,Central,1003,"[3011, 1014, 1008, 6000, 1024]","[Spanish, Dessert, Coffee Shop, International, Upper-floor Cafe]",$101-200,"17/F, M88, Wellington Place, 2-8 Wellington Street",513,415.0,17.0,3.7941540000000002,14645,22.2807986,114.15605490000002
Babbo Trattoria,/en/hongkong/r-babbo-trattoria-causeway-bay-italian-salad-r438272/reviews,Causeway Bay,1019,"[3006, 1022, 1081]","[Italian, Pizza, Salad]",$201-400,"5/F,Plaza 2000,2-4 Rusell Street",373,325.0,7.0,3.9462800000000002,8831,22.278658399999998,114.1816013
tori izakaya 鳥居居酒屋,/en/hongkong/r-tori-izakaya-causeway-bay-japanese-robatayaki-r188950/reviews,Causeway Bay,1019,"[2009, 1028, 1033, 1072]","[Japanese, Robatayaki, Izakaya, Skewer]",$201-400,"17/F, Macau Yat Yuen Centre, 525 Hennessy Road",362,314.0,18.0,4.015373,8967,22.280330499999998,114.18376640000001
Deluxe Daieiki Japanese Restaurant 極尚大瀛喜日本料理,/en/hongkong/r-deluxe-daieiki-japanese-restaurant-causeway-bay-japanese-all-you-can-eat-r468218/reviews,Causeway Bay,1019,"[2009, 1076]","[Japanese, All-you-can-eat]",$201-400,"11/F, Causeway Bay Plaza 2, 463-483 Lockhart Road",399,349.0,8.0,3.9795269999999996,16863,22.280552,114.182128
Gyuuzen Japanese Restaurant 牛禪燒肉日本料理,/en/hongkong/r-gyuuzen-japanese-restaurant-causeway-bay-japanese-sushi-sashimi-r176193/reviews,Causeway Bay,1019,"[2009, 1025, 1034]","[Japanese, Roast Meat, Sushi/Sashimi]",$201-400,"Shop 1302, 13/F, World Trade Centre, 280 Gloucester Road",349,316.0,20.0,4.001449,10144,22.2816465,114.18412450000001
Paradise Dynasty 樂天皇朝,/en/hongkong/r-paradise-dynasty-causeway-bay-guangdong-chinese-buns-r170063/reviews,Causeway Bay,1019,"[1002, 1041, 1001, 1011]","[Guangdong, Chinese Buns, Stir-Fry, Shanghai]",$101-200,"6/F, Lee Theatre, 99 Percival Street",508,353.0,19.0,3.826781,15249,22.278295,114.183079
Xiao Tian Gu Dessert Kaffee 小甜谷 Dessert Kaffee,/en/hongkong/r-xiao-tian-gu-dessert-kaffee-causeway-bay-western-dessert-r463869/reviews,Causeway Bay,1019,"[4000, 1014]","[Western, Dessert]",$101-200,"Shop 4-6, G/F, Cigna Tower, 482 Jaffe Road",434,359.0,11.0,3.89405,11249,22.280894500000002,114.18267009999998
ATUM Desserant,/en/hongkong/r-atum-desserant-causeway-bay-western-ice-cream-yogurt-r176319/reviews,Causeway Bay,1019,"[4000, 1014, 1006, 1015, 1008]","[Western, Dessert, Western Restaurant, Ice Cream/yogurt, Coffee Shop]",$101-200,"16/F, The L. Square, No. 459-461 Lockhart Road",296,255.0,4.0,3.991811,23315,22.2801863,114.18163899999999
Mad for Garlic,/en/hongkong/r-mad-for-garlic-causeway-bay-korean-pizza-r494914/reviews,Causeway Bay,1019,"[2001, 1022, 1006, 3006]","[Korean, Pizza, Western Restaurant, Italian]",$101-200,"Shop 1104, 11/F, Food Forum, Times Square, 1 Matheson Street",332,277.0,7.0,4.075786,8726,22.2781357,114.1821587
Sing Heung Yuen 勝香園,/en/hongkong/r-sing-heung-yuen-central-hong-kong-style-r10577/reviews,Central,1003,"[1004, 1009, 1016]","[Hong Kong Style, Tea Restaurant, Dai Pai Dong]",Below $50,2 Mei Lun Street,1292,920.0,76.0,3.525467,35916,22.284117840300002,114.15253579600001
Sun Thai Restaurant 新泰東南亞餐廳,/en/hongkong/r-sun-thai-restaurant-wan-chai-singaporean-curry-r189148/reviews,Wan Chai,1022,"[2002, 1009, 2004, 1033, 2005]","[Vietnamese, Seafood, Thai, Curry, Singaporean]",$101-200,"2/F, W Square, 314-324 Hennessy Road",327,264.0,8.0,3.9163,10716,22.2781549,114.1783696
Ramen Bari-Uma 霸嗎拉麵,/en/hongkong/r-ramen-bari-uma-causeway-bay-japanese-ramen-r456659/reviews,Causeway Bay,1019,"[2009, 1005]","[Japanese, Ramen]",$51-100,"G/F, Circle Tower, 28 Tang Lung Street",411,294.0,25.0,3.7812660000000005,8880,22.2792815,114.1820216
Green Orange,/en/hongkong/r-green-orange-sheung-wan-western-r149893/reviews,Sheung Wan,1001,"[4000, 1032]","[Western, Oyster Bar]",$201-400,"2/F, CS Tower, 50 Wing Lok Street",272,241.0,3.0,4.006488,12473,22.286298000000002,114.151799
